Date,SELIC,IPCA,IGP-M,INPC,CDI,PIB_MENSAL
2015-03-01,,1.32,0.98,1.51,,515332.9
2015-03-14,12.75,,,,,
2015-03-15,12.75,,,,,
2015-03-16,12.75,,,,0.047103,
2015-03-17,12.75,,,,0.047103,
2015-03-18,12.75,,,,0.047103,
2015-03-19,12.75,,,,0.047103,
2015-03-20,12.75,,,,0.047103,
2015-03-21,12.75,,,,,
2015-03-22,12.75,,,,,
2015-03-23,12.75,,,,0.047138,
2015-03-24,12.75,,,,0.047138,
2015-03-25,12.75,,,,0.047138,
2015-03-26,12.75,,,,0.047138,
2015-03-27,12.75,,,,0.047138,
2015-03-28,12.75,,,,,
2015-03-29,12.75,,,,,
2015-03-30,12.75,,,,0.047103,
2015-03-31,12.75,,,,0.047103,
2015-04-01,12.75,0.71,1.17,0.71,0.047103,497195.2
2015-04-02,12.75,,,,0.047103,
2015-04-03,12.75,,,,,
2015-04-04,12.75,,,,,
2015-04-05,12.75,,,,,
2015-04-06,12.75,,,,0.047103,
2015-04-07,12.75,,,,0.047103,
2015-04-08,12.75,,,,0.047103,
2015-04-09,12.75,,,,0.047103,
2015-04-10,12.75,,,,0.047103,
2015-04-11,12.75,,,,,
2015-04-12,12.75,,,,,
2015-04-13,12.75,,,,0.047103,
2015-04-14,12.75,,,,0.047103,
2015-04-15,12.75,,,,0.047103,
2015-04-16,12.75,,,,0.047103,
2015-04-17,12.75,,,,0.047103,
2015-04-18,12.75,,,,,
2015-04-19,12.75,,,,,
2015-04-20,12.75,,,,0.047103,
2015-04-21,12.75,,,,,
2015-04-22,12.75,,,,0.047103,
2015-04-23,12.75,,,,0.047103,
2015-04-24,12.75,,,,0.047103,
2015-04-25,12.75,,,,,
2015-04-26,12.75,,,,,
2015-04-27,12.75,,,,0.047138,
2015-04-28,12.75,,,,0.047173,
2015-04-29,12.75,,,,0.047173,
2015-04-30,13.25,,,,0.048897,
2015-05-01,13.25,0.74,0.41,0.99,,492305.8
2015-05-02,13.25,,,,,
2015-05-03,13.25,,,,,
2015-05-04,13.25,,,,0.048897,
2015-05-05,13.25,,,,0.048967,
2015-05-06,13.25,,,,0.048967,
2015-05-07,13.25,,,,0.048967,
2015-05-08,13.25,,,,0.048967,
2015-05-09,13.25,,,,,
2015-05-10,13.25,,,,,
2015-05-11,13.25,,,,0.048967,
2015-05-12,13.25,,,,0.048967,
2015-05-13,13.25,,,,0.048967,
2015-05-14,13.25,,,,0.048967,
2015-05-15,13.25,,,,0.048967,
2015-05-16,13.25,,,,,
2015-05-17,13.25,,,,,
2015-05-18,13.25,,,,0.048967,
2015-05-19,13.25,,,,0.048967,
2015-05-20,13.25,,,,0.048967,
2015-05-21,13.25,,,,0.048967,
2015-05-22,13.25,,,,0.048967,
2015-05-23,13.25,,,,,
2015-05-24,13.25,,,,,
